acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,class
54,0.00131,https://api.spotify.com/v1/audio-analysis/0rAkPpZpbWjpQ0FY7YVgHt,0.521,225930,0.766,0rAkPpZpbWjpQ0FY7YVgHt,0.0,4,0.202,-5.37,1,0.0302,96.534,4,https://api.spotify.com/v1/tracks/0rAkPpZpbWjpQ0FY7YVgHt,audio_features,spotify:track:0rAkPpZpbWjpQ0FY7YVgHt,0.352,1
55,0.00355,https://api.spotify.com/v1/audio-analysis/2ypT0w7jeCwcEQQvNE5o92,0.827,260507,0.747,2ypT0w7jeCwcEQQvNE5o92,0.0253,0,0.101,-6.247,0,0.0377,122.984,4,https://api.spotify.com/v1/tracks/2ypT0w7jeCwcEQQvNE5o92,audio_features,spotify:track:2ypT0w7jeCwcEQQvNE5o92,0.969,1
56,0.0168,https://api.spotify.com/v1/audio-analysis/3xqF04FdMK7gpIPG3SPFpY,0.657,237987,0.885,3xqF04FdMK7gpIPG3SPFpY,0.0,2,0.147,-4.695,1,0.0344,105.011,4,https://api.spotify.com/v1/tracks/3xqF04FdMK7gpIPG3SPFpY,audio_features,spotify:track:3xqF04FdMK7gpIPG3SPFpY,0.869,1
57,6.68e-05,https://api.spotify.com/v1/audio-analysis/4cif50UtZ3niKFmPWNgmZy,0.377,228461,0.962,4cif50UtZ3niKFmPWNgmZy,0.107,0,0.15,-4.041,0,0.0709,130.101,4,https://api.spotify.com/v1/tracks/4cif50UtZ3niKFmPWNgmZy,audio_features,spotify:track:4cif50UtZ3niKFmPWNgmZy,0.219,0
58,0.647,https://api.spotify.com/v1/audio-analysis/5aFSzu0b7ccAYjTkbTNTsQ,0.409,205859,0.439,5aFSzu0b7ccAYjTkbTNTsQ,0.0,0,0.0969,-8.693,0,0.0397,78.003,4,https://api.spotify.com/v1/tracks/5aFSzu0b7ccAYjTkbTNTsQ,audio_features,spotify:track:5aFSzu0b7ccAYjTkbTNTsQ,0.173,1
59,0.000713,https://api.spotify.com/v1/audio-analysis/75rctYH1J87zkJ51c4cxaq,0.173,235640,0.926,75rctYH1J87zkJ51c4cxaq,0.043,2,0.291,-4.027,1,0.132,201.231,4,https://api.spotify.com/v1/tracks/75rctYH1J87zkJ51c4cxaq,audio_features,spotify:track:75rctYH1J87zkJ51c4cxaq,0.0703,0
60,0.235,https://api.spotify.com/v1/audio-analysis/0VgKHBRCxOKf1YAlo4Zrqd,0.791,228101,0.935,0VgKHBRCxOKf1YAlo4Zrqd,0.000261,10,0.135,-4.999,0,0.0618,118.006,4,https://api.spotify.com/v1/tracks/0VgKHBRCxOKf1YAlo4Zrqd,audio_features,spotify:track:0VgKHBRCxOKf1YAlo4Zrqd,0.673,1
61,0.0141,https://api.spotify.com/v1/audio-analysis/18lR4BzEs7e3qzc0KVkTpU,0.623,205613,0.93,18lR4BzEs7e3qzc0KVkTpU,1.64e-06,5,0.138,-5.285,1,0.0324,120.119,4,https://api.spotify.com/v1/tracks/18lR4BzEs7e3qzc0KVkTpU,audio_features,spotify:track:18lR4BzEs7e3qzc0KVkTpU,0.287,1
62,0.0293,https://api.spotify.com/v1/audio-analysis/6RX5iL93VZ5fKmyvNXvF1r,0.447,227853,0.694,6RX5iL93VZ5fKmyvNXvF1r,5.46e-06,7,0.167,-4.637,0,0.382,175.868,4,https://api.spotify.com/v1/tracks/6RX5iL93VZ5fKmyvNXvF1r,audio_features,spotify:track:6RX5iL93VZ5fKmyvNXvF1r,0.509,1
63,0.000466,https://api.spotify.com/v1/audio-analysis/4TPpDS0H8gHaiJJx2ZQvid,0.421,142613,0.96,4TPpDS0H8gHaiJJx2ZQvid,8.81e-06,7,0.32,-5.864,1,0.137,174.932,4,https://api.spotify.com/v1/tracks/4TPpDS0H8gHaiJJx2ZQvid,audio_features,spotify:track:4TPpDS0H8gHaiJJx2ZQvid,0.339,0
